token_count,complexity_score,coding,reasoning,creative_writing,summarization,question_answering,instruction_following,long_form,has_code_block,question_count_norm,label
97,0.853,0.365,0.811,0.444,0.344,0.285,0.391,0.27,0,0.606,claude-opus
15,0.09,0.0,0.0,0.258,0.932,0.647,0.051,0.012,0,0.034,claude-haiku
88,0.8,0.346,0.841,0.864,0.103,0.264,0.244,0.25,0,0.529,claude-opus
69,0.865,0.423,0.987,0.675,0.0,0.357,0.262,0.632,0,0.488,claude-opus
43,0.486,0.672,0.861,0.158,0.143,0.204,0.346,0.149,0,0.168,gpt-4o
21,0.05,0.0,0.04,0.0,0.403,0.819,0.169,0.0,0,0.314,claude-haiku
259,0.525,0.034,0.406,0.236,1.0,0.375,0.081,0.991,0,0.065,gemini-1.5-pro
256,0.612,0.161,0.431,0.052,0.898,0.177,0.174,0.826,0,0.071,gemini-1.5-pro
45,0.534,0.715,0.421,0.215,0.021,0.266,0.39,0.134,0,0.0,claude-sonnet
138,0.574,0.0,0.525,0.059,0.804,0.479,0.239,0.829,0,0.227,gemini-1.5-pro
107,0.914,0.376,0.735,0.691,0.108,0.131,0.003,0.263,0,0.31,claude-opus
49,0.369,0.604,0.309,0.0,0.312,0.202,0.461,0.0,1,0.041,claude-sonnet
1,0.097,0.0,0.0,0.035,0.562,0.482,0.136,0.005,0,0.212,claude-haiku
18,0.307,0.62,0.288,0.268,0.145,0.211,0.802,0.169,1,0.249,claude-sonnet
87,0.84,0.235,0.824,0.678,0.183,0.174,0.656,0.771,0,0.454,claude-opus
197,0.573,0.098,0.531,0.189,0.847,0.345,0.204,0.953,0,0.0,gemini-1.5-pro
339,0.389,0.127,0.319,0.271,0.739,0.607,0.017,0.885,0,0.111,gemini-1.5-pro
19,0.607,0.705,0.596,0.265,0.2,0.154,0.789,0.11,1,0.313,gpt-4o
32,0.418,0.733,0.428,0.157,0.078,0.114,0.586,0.114,0,0.057,claude-sonnet
94,0.911,0.85,1.0,0.629,0.077,0.445,0.198,0.192,0,0.365,claude-opus
28,0.433,0.701,0.418,0.12,0.195,0.165,0.55,0.111,1,0.147,claude-sonnet
14,0.362,0.76,0.358,0.051,0.0,0.101,0.372,0.0,0,0.286,claude-sonnet
256,0.491,0.357,0.37,0.115,1.0,0.185,0.141,0.815,0,0.013,gemini-1.5-pro
29,0.587,0.753,0.732,0.183,0.09,0.13,0.35,0.0,1,0.205,gpt-4o
22,0.489,0.7,0.424,0.137,0.0,0.104,0.817,0.075,1,0.293,claude-sonnet
176,0.661,0.481,0.498,0.056,0.664,0.285,0.0,0.837,0,0.156,gemini-1.5-pro
65,0.782,0.46,0.725,0.434,0.181,0.311,0.224,0.667,1,0.261,claude-opus
23,0.154,0.138,0.051,0.147,0.458,0.586,0.533,0.014,0,0.124,gpt-4o-mini
82,0.733,0.428,0.809,0.636,0.195,0.304,0.398,0.508,0,0.406,claude-opus
21,0.171,0.194,0.059,0.434,0.375,0.668,0.436,0.0,0,0.382,gpt-4o-mini
31,0.373,0.921,0.304,0.211,0.0,0.233,0.724,0.16,0,0.247,claude-sonnet
36,0.456,0.521,0.527,0.15,0.0,0.179,0.133,0.02,0,0.134,claude-sonnet
249,0.546,0.054,0.368,0.188,0.744,0.382,0.167,1.0,0,0.153,gemini-1.5-pro
107,0.712,0.066,0.794,0.515,0.0,0.0,0.0,0.488,0,0.587,claude-opus
59,0.568,1.0,0.466,0.195,0.125,0.231,0.285,0.0,0,0.145,claude-sonnet
89,0.569,0.713,0.84,0.079,0.008,0.114,0.599,0.033,1,0.261,gpt-4o
34,0.131,0.179,0.0,0.238,0.923,0.19,0.331,0.029,0,0.141,gpt-4o-mini
74,0.945,0.191,0.725,0.584,0.192,0.292,0.396,0.55,0,0.166,claude-opus
45,0.459,0.561,0.562,0.0,0.296,0.479,0.413,0.08,0,0.37,claude-sonnet
15,0.057,0.015,0.06,0.092,0.334,0.615,0.402,0.0,0,0.17,claude-haiku
20,0.072,0.0,0.0,0.224,0.616,0.506,0.096,0.042,0,0.619,claude-haiku
143,0.819,0.125,0.884,0.563,0.123,0.229,0.455,0.493,0,0.399,claude-opus
105,0.756,0.219,0.841,0.84,0.138,0.158,0.298,0.683,0,0.226,claude-opus
232,0.551,0.095,0.845,0.006,0.808,0.399,0.154,0.787,1,0.017,gemini-1.5-pro
231,0.62,0.232,0.542,0.17,0.772,0.217,0.243,0.782,1,0.068,gemini-1.5-pro
26,0.088,0.0,0.141,0.086,0.343,0.497,0.084,0.067,0,0.107,gpt-4o-mini
48,0.468,0.469,0.313,0.29,0.308,0.375,0.892,0.06,0,0.039,claude-sonnet
41,0.05,0.012,0.155,0.06,0.341,0.679,0.267,0.048,0,0.421,gpt-4o-mini
21,0.117,0.023,0.0,0.185,0.535,0.633,0.0,0.0,0,0.444,claude-haiku
33,0.458,0.808,0.705,0.064,0.106,0.289,0.711,0.101,0,0.154,claude-sonnet
322,0.603,0.0,0.25,0.251,0.969,0.281,0.099,0.959,0,0.15,gemini-1.5-pro
103,0.957,0.263,0.711,0.899,0.0,0.15,0.342,0.411,1,0.598,claude-opus
85,0.602,1.0,0.997,0.0,0.168,0.049,0.911,0.102,1,0.17,gpt-4o
82,0.681,0.802,0.83,0.037,0.0,0.254,0.467,0.112,1,0.058,gpt-4o
27,0.369,0.631,0.22,0.384,0.153,0.0,1.0,0.046,0,0.532,claude-sonnet
144,0.617,0.107,0.495,0.118,0.731,0.381,0.059,0.824,0,0.096,gemini-1.5-pro
11,0.083,0.0,0.0,0.015,0.793,0.842,0.0,0.002,0,0.0,claude-haiku
202,0.645,0.132,0.263,0.185,0.868,0.021,0.197,0.928,0,0.313,gemini-1.5-pro
157,0.564,0.013,0.285,0.006,0.85,0.302,0.042,0.758,1,0.15,gemini-1.5-pro
160,0.912,0.053,0.726,0.628,0.277,0.299,0.271,0.7,0,0.648,claude-opus
9,0.13,0.063,0.003,0.517,0.743,0.442,0.224,0.054,0,0.215,gpt-4o-mini
21,0.104,0.031,0.0,0.249,0.651,0.586,0.371,0.0,0,0.205,gpt-4o-mini
103,0.78,0.113,0.95,0.604,0.083,0.146,0.324,0.644,0,0.286,claude-opus
253,0.589,0.152,0.18,0.0,1.0,0.254,0.261,0.843,0,0.191,gemini-1.5-pro
14,0.117,0.0,0.0,0.253,0.86,0.805,0.234,0.0,0,0.193,claude-haiku
36,0.132,0.034,0.152,0.153,0.246,0.81,0.362,0.0,0,0.255,gpt-4o-mini
34,0.353,0.951,0.169,0.101,0.051,0.406,0.605,0.103,1,0.178,claude-sonnet
10,0.099,0.0,0.017,0.086,0.687,0.944,0.05,0.024,0,0.155,claude-haiku
8,0.08,0.023,0.069,0.032,0.451,0.569,0.003,0.054,0,0.311,claude-haiku
55,0.277,0.876,0.382,0.157,0.047,0.186,0.733,0.147,0,0.02,claude-sonnet
79,0.568,0.66,0.763,0.053,0.149,0.271,0.367,0.014,1,0.099,gpt-4o
22,0.372,0.648,0.199,0.168,0.114,0.128,0.971,0.0,0,0.047,claude-sonnet
40,0.356,0.794,0.303,0.0,0.193,0.279,0.866,0.069,1,0.223,claude-sonnet
14,0.095,0.0,0.057,0.109,0.675,0.991,0.161,0.009,0,0.623,claude-haiku
39,0.147,0.055,0.121,0.273,0.608,0.537,0.117,0.028,0,0.114,gpt-4o-mini
84,0.647,0.437,0.803,0.468,0.207,0.33,0.452,0.691,0,0.203,claude-opus
1,0.05,0.0,0.0,0.207,0.283,0.766,0.0,0.018,0,0.135,claude-haiku
350,0.627,0.285,0.331,0.189,0.915,0.158,0.118,1.0,0,0.109,gemini-1.5-pro
132,0.693,0.0,1.0,0.577,0.148,0.199,0.427,0.768,0,0.767,claude-opus
15,0.105,0.046,0.015,0.121,0.716,0.81,0.003,0.001,0,0.017,claude-haiku
1,0.076,0.0,0.079,0.101,0.126,0.816,0.166,0.022,0,0.317,claude-haiku
64,0.501,0.711,0.55,0.031,0.085,0.199,0.819,0.056,0,0.263,claude-sonnet
73,0.515,0.941,0.523,0.181,0.123,0.161,0.53,0.161,1,0.254,gpt-4o
163,0.506,0.183,0.154,0.185,0.62,0.234,0.337,0.684,0,0.14,gemini-1.5-pro
52,0.419,0.901,0.263,0.319,0.236,0.0,0.777,0.048,0,0.217,claude-sonnet
61,0.683,0.95,0.775,0.208,0.001,0.054,0.591,0.161,0,0.146,gpt-4o
65,0.701,0.807,0.611,0.023,0.127,0.071,0.679,0.171,0,0.245,gpt-4o
10,0.088,0.0,0.036,0.158,1.0,0.893,0.039,0.0,0,0.175,claude-haiku
310,0.687,0.046,0.32,0.031,0.568,0.477,0.142,0.887,0,0.154,gemini-1.5-pro
53,0.506,0.871,0.905,0.0,0.0,0.309,0.768,0.339,1,0.308,gpt-4o
200,0.535,0.05,0.299,0.081,0.702,0.283,0.0,0.893,0,0.168,gemini-1.5-pro
298,0.656,0.128,0.294,0.216,0.747,0.319,0.012,0.876,0,0.195,gemini-1.5-pro
16,0.149,0.231,0.11,0.0,0.602,0.486,0.334,0.019,0,0.221,gpt-4o-mini
173,0.494,0.169,0.447,0.018,1.0,0.198,0.345,0.88,0,0.066,gemini-1.5-pro
49,0.605,0.816,0.911,0.201,0.132,0.248,0.365,0.0,1,0.239,gpt-4o
127,0.805,0.497,1.0,0.49,0.0,0.24,0.246,0.395,0,0.341,claude-opus
73,0.594,0.511,0.46,0.211,0.136,0.012,0.487,0.304,1,0.147,gpt-4o
1,0.108,0.019,0.0,0.118,0.691,1.0,0.016,0.021,0,0.201,claude-haiku
11,0.071,0.0,0.036,0.153,0.863,0.688,0.103,0.0,0,0.287,claude-haiku
51,0.312,0.901,0.53,0.138,0.103,0.351,0.723,0.131,0,0.07,claude-sonnet
14,0.05,0.028,0.0,0.1,0.616,0.859,0.0,0.0,0,0.416,claude-haiku
1,0.07,0.022,0.076,0.107,0.75,0.74,0.026,0.0,0,0.529,claude-haiku
17,0.075,0.0,0.0,0.0,0.163,0.593,0.027,0.021,0,0.331,claude-haiku
8,0.075,0.0,0.035,0.087,0.126,0.85,0.073,0.0,0,0.317,claude-haiku
14,0.127,0.09,0.048,0.269,0.278,0.586,0.196,0.0,0,0.231,gpt-4o-mini
16,0.113,0.0,0.088,0.243,0.464,0.457,0.539,0.042,0,0.307,gpt-4o-mini
51,0.289,0.798,0.437,0.0,0.0,0.184,0.619,0.168,1,0.007,claude-sonnet
39,0.183,0.053,0.139,0.137,0.425,0.934,0.352,0.044,0,0.325,gpt-4o-mini
122,0.714,0.396,0.892,0.84,0.0,0.22,0.516,0.772,0,0.262,claude-opus
276,0.478,0.223,0.164,0.059,0.998,0.335,0.233,0.913,0,0.208,gemini-1.5-pro
14,0.064,0.0,0.0,0.272,0.236,0.736,0.236,0.0,0,0.245,claude-haiku
119,0.957,0.278,0.727,0.607,0.216,0.301,0.517,0.885,0,0.322,claude-opus
19,0.14,0.0,0.048,0.459,0.253,0.323,0.367,0.0,0,0.301,gpt-4o-mini
23,0.513,0.743,0.159,0.184,0.117,0.364,0.882,0.051,0,0.115,claude-sonnet
204,0.52,0.0,0.614,0.151,0.93,0.216,0.375,0.865,0,0.295,gemini-1.5-pro
81,0.597,0.834,0.489,0.091,0.063,0.0,0.625,0.136,1,0.047,gpt-4o
57,0.501,0.554,0.816,0.0,0.098,0.157,0.442,0.103,0,0.451,gpt-4o
29,0.16,0.0,0.153,0.334,0.411,0.493,0.184,0.116,0,0.176,gpt-4o-mini
13,0.175,0.0,0.181,0.281,0.465,0.826,0.248,0.067,0,0.084,gpt-4o-mini
75,0.653,0.729,0.662,0.067,0.069,0.064,0.487,0.049,1,0.22,gpt-4o
16,0.088,0.16,0.132,0.37,0.331,0.966,0.597,0.039,0,0.141,gpt-4o-mini
84,0.899,0.219,0.869,0.63,0.173,0.298,0.646,0.221,0,0.359,claude-opus
205,0.6,0.106,0.546,0.198,0.862,0.159,0.266,0.917,0,0.185,gemini-1.5-pro
222,0.482,0.092,0.259,0.214,0.872,0.306,0.325,0.869,0,0.227,gemini-1.5-pro
36,0.085,0.027,0.189,0.0,0.788,0.18,0.286,0.021,0,0.349,gpt-4o-mini
12,0.058,0.006,0.0,0.237,0.144,0.848,0.281,0.0,0,0.332,claude-haiku
73,0.618,0.91,0.907,0.0,0.154,0.414,0.375,0.097,1,0.207,gpt-4o
43,0.349,0.67,0.14,0.176,0.0,0.228,0.702,0.0,1,0.137,claude-sonnet
11,0.069,0.0,0.019,0.272,0.51,0.724,0.041,0.0,0,0.11,claude-haiku
43,0.598,0.783,0.716,0.158,0.0,0.291,0.18,0.135,1,0.284,gpt-4o
8,0.095,0.0,0.057,0.005,0.016,0.705,0.044,0.0,0,0.299,claude-haiku
87,0.602,0.7,0.849,0.158,0.0,0.174,0.403,0.138,0,0.145,gpt-4o
130,0.854,0.175,0.852,0.629,0.05,0.015,0.293,0.749,0,0.251,claude-opus
11,0.191,0.0,0.0,0.304,0.792,0.743,0.229,0.022,0,0.192,gpt-4o-mini
221,0.638,0.069,0.373,0.144,0.626,0.148,0.308,0.927,1,0.02,gemini-1.5-pro
61,0.622,0.521,0.585,0.257,0.12,0.128,0.626,0.141,1,0.485,gpt-4o
12,0.089,0.0,0.0,0.0,0.257,0.861,0.236,0.0,0,0.473,claude-haiku
53,0.532,0.845,0.762,0.111,0.232,0.004,0.796,0.018,1,0.425,gpt-4o
136,0.808,0.413,0.955,0.863,0.112,0.389,0.346,0.578,0,0.28,claude-opus
15,0.198,0.06,0.0,0.305,0.567,0.244,0.052,0.113,0,0.247,gpt-4o-mini
112,0.627,0.314,0.788,0.429,0.088,0.341,0.258,0.404,0,0.473,claude-opus
91,0.957,0.119,1.0,0.519,0.038,0.141,0.447,0.497,0,0.602,claude-opus
276,0.647,0.324,0.392,0.0,0.888,0.232,0.15,0.721,0,0.23,gemini-1.5-pro
31,0.719,0.896,0.64,0.04,0.0,0.031,0.486,0.064,1,0.311,gpt-4o
109,0.734,0.611,0.928,0.609,0.159,0.221,0.491,0.2,0,0.377,claude-opus
10,0.066,0.0,0.014,0.217,0.421,0.908,0.123,0.019,0,0.165,claude-haiku
49,0.663,1.0,0.628,0.238,0.175,0.021,0.699,0.113,1,0.236,gpt-4o
48,0.494,0.445,0.47,0.16,0.208,0.196,0.974,0.0,1,0.247,claude-sonnet
26,0.17,0.049,0.0,0.231,0.65,0.433,0.084,0.085,0,0.2,gpt-4o-mini
99,0.817,0.142,0.945,0.576,0.191,0.0,0.429,0.564,0,0.155,claude-opus
279,0.621,0.208,0.362,0.151,0.77,0.23,0.322,0.881,0,0.261,gemini-1.5-pro
87,0.958,0.333,0.863,0.791,0.118,0.342,0.13,0.266,0,0.672,claude-opus
35,0.428,0.739,0.298,0.305,0.0,0.116,0.493,0.0,0,0.235,claude-sonnet
23,0.486,0.869,0.356,0.166,0.153,0.245,0.828,0.212,1,0.21,claude-sonnet
109,0.79,0.303,1.0,1.0,0.018,0.44,0.385,0.447,0,0.538,claude-opus
114,0.786,0.55,1.0,0.736,0.041,0.349,0.394,0.629,0,0.605,claude-opus
86,0.601,0.263,0.718,0.201,0.108,0.258,0.411,0.13,1,0.0,gpt-4o
250,0.636,0.06,0.411,0.18,0.66,0.176,0.076,0.748,0,0.064,gemini-1.5-pro
50,0.594,0.896,0.707,0.225,0.073,0.0,0.566,0.167,1,0.141,gpt-4o
13,0.081,0.08,0.0,0.0,0.366,0.726,0.072,0.018,0,0.392,claude-haiku
84,0.52,0.674,0.714,0.069,0.035,0.267,0.673,0.101,1,0.343,gpt-4o
151,0.473,0.139,0.32,0.189,0.995,0.149,0.053,0.831,1,0.193,gemini-1.5-pro
250,0.577,0.185,0.207,0.019,0.672,0.119,0.295,0.958,0,0.211,gemini-1.5-pro
23,0.05,0.05,0.03,0.253,0.678,0.808,0.048,0.0,0,0.329,claude-haiku
105,0.826,0.358,0.794,0.453,0.015,0.139,0.293,0.516,1,0.365,claude-opus
59,0.472,0.465,0.554,0.023,0.0,0.378,0.864,0.084,1,0.169,claude-sonnet
64,0.619,1.0,0.575,0.076,0.072,0.294,0.482,0.229,0,0.212,gpt-4o
24,0.146,0.0,0.079,0.25,0.638,0.919,0.232,0.0,0,0.116,gpt-4o-mini
83,0.56,0.912,0.878,0.036,0.049,0.129,0.356,0.079,1,0.22,gpt-4o
24,0.431,0.609,0.19,0.19,0.079,0.429,0.783,0.139,0,0.239,claude-sonnet
102,0.976,0.291,0.846,0.895,0.113,0.27,0.0,0.591,0,0.387,claude-opus
209,0.641,0.142,0.459,0.142,0.951,0.164,0.159,0.942,1,0.165,gemini-1.5-pro
66,0.576,1.0,0.471,0.007,0.136,0.483,0.371,0.283,1,0.14,gpt-4o
60,0.677,1.0,0.857,0.26,0.0,0.111,0.415,0.0,0,0.259,gpt-4o
19,0.16,0.055,0.046,0.303,0.463,0.654,0.383,0.064,1,0.407,gpt-4o-mini
10,0.087,0.016,0.042,0.272,0.009,0.761,0.241,0.0,0,0.549,claude-haiku
12,0.11,0.055,0.0,0.034,0.036,0.814,0.003,0.028,0,0.305,claude-haiku
56,0.46,0.104,0.329,0.037,0.067,0.041,0.703,0.141,1,0.189,claude-sonnet
102,0.825,0.36,0.91,0.684,0.084,0.103,0.284,0.643,0,0.371,claude-opus
6,0.068,0.0,0.0,0.0,1.0,0.678,0.002,0.0,0,0.035,claude-haiku
48,0.577,0.946,0.623,0.116,0.003,0.089,0.514,0.091,1,0.394,gpt-4o
10,0.209,0.031,0.0,0.614,0.581,0.824,0.423,0.0,0,0.264,gpt-4o-mini
2,0.078,0.0,0.0,0.099,0.486,0.967,0.044,0.0,0,0.058,claude-haiku
184,0.642,0.045,0.321,0.099,0.87,0.108,0.114,0.866,1,0.268,gemini-1.5-pro
24,0.185,0.015,0.0,0.129,0.525,0.656,0.358,0.034,1,0.325,gpt-4o-mini
14,0.133,0.15,0.034,0.225,0.452,0.707,0.172,0.076,0,0.138,gpt-4o-mini
15,0.09,0.032,0.024,0.037,0.321,0.73,0.15,0.0,0,0.65,claude-haiku
70,0.426,0.515,0.289,0.257,0.21,0.494,0.713,0.098,1,0.322,claude-sonnet
206,0.483,0.071,0.329,0.0,0.994,0.234,0.237,0.727,0,0.098,gemini-1.5-pro
89,0.908,0.301,0.958,0.959,0.183,0.195,0.295,0.361,0,0.587,claude-opus
14,0.082,0.052,0.053,0.035,0.431,0.72,0.0,0.02,0,0.478,claude-haiku
79,0.615,0.575,0.869,0.031,0.0,0.062,0.572,0.227,1,0.256,gpt-4o
17,0.094,0.125,0.04,0.172,0.627,0.829,0.502,0.0,0,0.3,gpt-4o-mini
29,0.419,0.894,0.345,0.423,0.141,0.366,0.405,0.091,1,0.137,claude-sonnet
188,0.66,0.023,0.31,0.016,0.989,0.332,0.216,0.873,0,0.042,gemini-1.5-pro
11,0.13,0.0,0.0,0.01,0.362,0.639,0.274,0.031,0,0.277,gpt-4o-mini
7,0.089,0.0,0.0,0.024,0.947,0.776,0.017,0.0,0,0.443,claude-haiku
119,0.719,0.361,0.836,0.736,0.15,0.208,0.622,0.51,0,0.286,claude-opus
230,0.696,0.246,0.156,0.048,0.644,0.196,0.156,0.756,0,0.206,gemini-1.5-pro
41,0.303,0.852,0.582,0.0,0.106,0.26,0.432,0.172,0,0.129,claude-sonnet
124,0.766,0.0,0.877,0.744,0.0,0.176,0.298,0.506,0,0.289,claude-opus
13,0.403,0.688,0.29,0.0,0.0,0.123,0.6,0.183,1,0.285,claude-sonnet
53,0.475,0.629,0.833,0.041,0.058,0.156,0.527,0.0,1,0.245,gpt-4o
36,0.456,0.416,0.582,0.139,0.0,0.0,1.0,0.0,0,0.203,claude-sonnet
21,0.631,0.525,1.0,0.334,0.098,0.258,0.529,0.214,1,0.25,gpt-4o
29,0.512,0.77,0.14,0.199,0.118,0.197,0.503,0.061,0,0.027,claude-sonnet
15,0.127,0.054,0.026,0.242,0.238,0.624,0.163,0.0,0,0.059,gpt-4o-mini
199,0.447,0.174,0.337,0.191,0.883,0.123,0.247,0.79,0,0.303,gemini-1.5-pro
18,0.121,0.0,0.09,0.128,0.811,0.32,0.063,0.089,0,0.06,gpt-4o-mini
1,0.067,0.0,0.0,0.091,0.544,1.0,0.011,0.013,0,0.188,claude-haiku
310,0.511,0.0,0.308,0.0,1.0,0.113,0.161,0.997,0,0.237,gemini-1.5-pro
16,0.098,0.0,0.026,0.08,0.129,0.868,0.095,0.0,0,0.378,claude-haiku
9,0.106,0.0,0.0,0.118,0.882,0.785,0.065,0.0,0,0.403,claude-haiku
33,0.173,0.11,0.0,0.138,0.144,0.892,0.376,0.017,0,0.362,gpt-4o-mini
44,0.578,0.767,0.544,0.0,0.071,0.191,0.586,0.212,0,0.202,gpt-4o
57,0.43,0.706,0.433,0.0,0.159,0.259,0.857,0.063,0,0.156,claude-sonnet
38,0.365,0.563,0.382,0.08,0.193,0.192,0.695,0.0,1,0.279,claude-sonnet
19,0.05,0.032,0.194,0.083,0.495,0.252,0.396,0.019,0,0.483,gpt-4o-mini
105,0.884,0.145,0.917,0.508,0.005,0.229,0.383,0.579,1,0.531,claude-opus
62,0.678,0.635,0.564,0.076,0.125,0.294,0.464,0.0,0,0.414,gpt-4o
64,0.598,0.792,0.705,0.0,0.154,0.233,0.054,0.036,0,0.151,gpt-4o
36,0.328,0.771,0.45,0.031,0.141,0.163,0.633,0.034,1,0.27,claude-sonnet
32,0.413,0.66,0.473,0.27,0.131,0.295,0.437,0.213,0,0.367,claude-sonnet
87,0.796,0.222,0.638,0.839,0.088,0.531,0.336,0.766,0,0.449,claude-opus
10,0.077,0.0,0.0,0.023,0.455,0.754,0.062,0.0,0,0.366,claude-haiku
27,0.399,0.946,0.344,0.0,0.139,0.439,0.832,0.15,0,0.061,claude-sonnet
56,0.574,0.752,0.705,0.0,0.023,0.0,0.782,0.182,1,0.155,gpt-4o
3,0.086,0.001,0.064,0.089,0.83,0.921,0.04,0.02,0,0.81,claude-haiku
54,0.588,1.0,0.781,0.24,0.04,0.211,0.365,0.14,0,0.177,gpt-4o
86,0.856,0.097,1.0,0.526,0.285,0.174,0.452,0.393,0,0.738,claude-opus
16,0.078,0.012,0.0,0.0,0.792,0.991,0.096,0.0,0,0.215,claude-haiku
77,0.89,0.126,0.957,0.607,0.103,0.209,0.433,0.261,1,0.225,claude-opus
29,0.667,0.424,0.601,0.201,0.135,0.28,0.583,0.241,1,0.065,gpt-4o
215,0.736,0.154,0.344,0.128,0.688,0.454,0.274,0.815,0,0.131,gemini-1.5-pro
100,0.812,0.074,0.803,0.6,0.123,0.287,0.318,0.59,1,0.333,claude-opus
277,0.425,0.214,0.367,0.0,1.0,0.312,0.299,1.0,0,0.092,gemini-1.5-pro
205,0.48,0.093,0.42,0.052,0.864,0.158,0.061,0.588,0,0.0,gemini-1.5-pro
262,0.647,0.14,0.125,0.053,0.777,0.436,0.336,0.892,0,0.064,gemini-1.5-pro
18,0.112,0.18,0.084,0.036,0.604,0.659,0.252,0.0,0,0.163,gpt-4o-mini
6,0.052,0.029,0.048,0.197,0.751,0.948,0.117,0.0,0,0.286,claude-haiku
94,0.894,0.477,0.707,0.66,0.118,0.092,0.106,0.487,0,0.317,claude-opus
15,0.154,0.08,0.006,0.121,0.702,0.571,0.495,0.0,0,0.08,gpt-4o-mini
27,0.135,0.205,0.017,0.182,0.0,0.904,0.245,0.0,1,0.409,gpt-4o-mini
22,0.505,0.321,0.35,0.166,0.064,0.278,0.605,0.259,0,0.232,claude-sonnet
47,0.362,0.658,0.395,0.0,0.045,0.391,0.396,0.182,0,0.125,claude-sonnet
270,0.503,0.452,0.382,0.145,1.0,0.397,0.328,0.976,0,0.345,gemini-1.5-pro
7,0.095,0.044,0.0,0.138,0.562,0.917,0.0,0.017,0,0.073,claude-haiku
24,0.054,0.09,0.0,0.116,0.462,0.789,0.01,0.049,0,0.186,claude-haiku
40,0.514,0.659,0.657,0.103,0.182,0.251,1.0,0.076,1,0.345,gpt-4o
18,0.149,0.0,0.055,0.287,0.535,0.401,0.418,0.124,0,0.178,gpt-4o-mini
